Condition,Year,Make_Model,Trim,Price,Vin
Used,2025,INFINITI QX60,INFINITI QX60,,5N1AL1HU8SC333181
Used,2019,INFINITI QX30,INFINITI QX30,,SJKCH5CP2KA010292
Used,2024,INFINITI QX80,INFINITI QX80,,JN8AZ2BC6R9500917
Used,2024,INFINITI QX50,INFINITI QX50,,3PCAJ5FA7RF110699
Used,2022,INFINITI QX80,INFINITI QX80,,JN8AZ2AE9N9293954
Used,2021,INFINITI QX50,INFINITI QX50,,3PCAJ5BA7MF126206
Used,2022,INFINITI QX55,INFINITI QX55,,3PCAJ5K32NF112328
Used,2019,INFINITI Q60,INFINITI Q60,,JN1EV7ELXKM290619
Used,2024,INFINITI QX80,INFINITI QX80,,JN8AZ2BF2R9765005
Used,2020,INFINITI QX80,INFINITI QX80,,JN8AZ2NE2L9250130
Used,2020,INFINITI QX60,INFINITI QX60,,5N1DL0MM6LC503441
Used,2023,INFINITI QX60,INFINITI QX60,,5N1DL1HU2PC348943
Used,2024,INFINITI QX60,INFINITI QX60,,5N1DL1ESXRC358433
Used,2015,INFINITI Q50,INFINITI Q50,,JN1BV7AR6FM392387
Used,2024,INFINITI Q50,INFINITI Q50,,JN1FV7DP1RM660150
Used,2022,INFINITI QX80,INFINITI QX80,,JN8AZ2BF0N9742042
Used,2022,INFINITI QX55,INFINITI QX55,,3PCAJ5J3XNF112305
Used,2015,INFINITI Q70L,INFINITI Q70L,,JN1AY1PP7FM170172
Used,2022,INFINITI Q60,INFINITI Q60,,JN1EV7KK9NM600081
Used,2023,INFINITI QX55,INFINITI QX55,,3PCAJ5JR5PF117385
Used,2020,INFINITI QX60,INFINITI QX60,,5N1DL0MM5LC521235
Used,2024,INFINITI QX80,INFINITI QX80,,JN8AZ2AE8R9329798
Used,2019,INFINITI QX80,INFINITI QX80,,JN8AZ2NE3K9225848
Used,2025,INFINITI QX60,INFINITI QX60,,5N1AL1GR9SC330089
Used,2024,INFINITI QX60,INFINITI QX60,,5N1DL1ER8RC341191
Used,2007,INFINITI M35,INFINITI M35,,JNKAY01F97M451235
Used,2024,Nissan Frontier,Nissan Frontier,,1N6ED1EK8RN631005
Used,2021,Jeep Grand Cherokee,Jeep Grand Cherokee,,1C4RJFBG3MC872839
Used,2025,Audi Q7,Audi Q7,,WA1LCBF76SD013989
Used,2023,GMC Yukon,GMC Yukon,,1GKS2BKTXPR342684
Used,2014,Buick LaCrosse,Buick LaCrosse,,1G4GB5G34EF211319
Used,2021,RAM 1500,RAM 1500,,1C6SRFU98MN905046
Used,2018,Honda Accord Sedan,Honda Accord Sedan,,1HGCV1F90JA167692
Used,2017,Chevrolet Tahoe,Chevrolet Tahoe,,1GNSKCKC1HR178087
Used,2024,Toyota Sequoia,Toyota Sequoia,,7SVAAAAA4RX002777
Used,2024,Nissan Armada,Nissan Armada,,JN8AY2DA0R9417174
Used,2024,Kia K5,Kia K5,,5XXG64J22RG242577
Used,2019,Toyota Yaris Sedan,Toyota Yaris Sedan,,3MYDLBYV3KY514584
Used,2012,Kia Soul,Kia Soul,,KNDJT2A52C7406519
Used,2020,Jeep Wrangler Unlimited,Jeep Wrangler Unlimited,,1C4HJXFG3LW187300
Used,2020,Chevrolet Traverse,Chevrolet Traverse,,1GNERGKW9LJ233015
Used,2023,Chevrolet Silverado 2500HD,Chevrolet Silverado 2500HD,,2GC4YME78P1723200
Used,2012,BMW 6 Series,BMW 6 Series,,WBALZ3C5XCC397888
Used,2023,Nissan Maxima,Nissan Maxima,,1N4AA6CV6PC512808
Used,2012,Acura TL,Acura TL,,19UUA8F29CA031155
Used,2024,Jeep Wrangler,Jeep Wrangler,,1C4PJXCN4RW283623
Used,2012,Honda Accord Sdn,Honda Accord Sdn,,1HGCP2F4XCA164449
Used,2014,Ford F-150,Ford F-150,,1FTFW1ET0EFB41558
Used,2016,Chevrolet Cruze Limited,Chevrolet Cruze Limited,,1G1PG5SB2G7120060
Used,2013,Honda Odyssey,Honda Odyssey,,5FNRL5H97DB066888
Used,2016,Volkswagen Jetta,Volkswagen Jetta,,3VW267AJ2GM222051
Used,2024,Lexus,Lexus,,58ADZ1B10RU167861
Used,2020,Tesla Model Y,Tesla Model Y,,5YJYGDEE8LF040570
Used,2015,Lexus IS 350,Lexus IS 350,,JTHBE1D24F5020788
Used,2017,Hyundai Accent,Hyundai Accent,,KMHCT5AE2HU346529
Used,2017,Chevrolet Equinox,Chevrolet Equinox,,2GNALCEK8H6295673
Used,2017,Nissan Pathfinder,Nissan Pathfinder,,5N1DR2MM7HC615716
